Trig_date,District,Chiefdom,Section,Name_of_community,Male_child,Male_Adult,Total_male,Female_child,Female_adult,Total_female,Chiefs,Youth_leaders,Religious_leaders,Police,Women_leaders,Health_workers,Children,ss_mc,ss_fc,ss_ma,ss_fa,r_mc,r_fc,r_ma,r_fa,d_mc,d_fc,d_ma,d_fa,b_mc,b_fc,b_ma,b_fa,cb_mc,cb_fc,cb_ma,cb_fa
12/2/2014,Port Loko,Koya,Mawoma,Mamoh,NA,NA,10,NA,NA,15,1,1,2,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2014,Port Loko,Koya,Mawoma,Mabankara,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
12/4/2014,Port Loko,Koya,Mawoma,Mateh,NA,NA,9,NA,NA,15,1,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
12/5/2014,Port Loko,Koya,Mawoma,Mamulai,NA,NA,13,NA,NA,15,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/2/2014,Port Loko,Koya,Mahera,Mali,NA,NA,8,NA,NA,15,1,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2014,Port Loko,Koya,Mahera,Bathsemp,NA,NA,11,NA,NA,12,1,1,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2014,Port Loko,Koya,Mahera,Makabie,NA,NA,8,NA,NA,15,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
12/5/2014,Port Loko,Koya,Mahera,Mahera,NA,NA,7,NA,NA,15,2,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/2/2014,Port Loko,Koya,Rosarr,Rogboro,NA,NA,NA,NA,NA,15,1,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2014,Port Loko,Koya,Rosarr,Mabora,NA,NA,9,NA,NA,15,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,7,2,11,10,7,2,10,10,0,0,1,0
12/4/2014,Port Loko,Koya,Rosarr,Magboko,NA,NA,8,NA,NA,15,1,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2014,Port Loko,Koya,Rosarr,Makalli,NA,NA,NA,NA,NA,15,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/2/2014,Port Loko,Koya,Fondu,Masaray,NA,NA,11,NA,NA,15,1,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0
12/3/2014,Port Loko,Koya,Fondu,Makuru,NA,NA,11,NA,NA,15,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
12/4/2014,Port Loko,Koya,Fondu,Magbando 1,NA,NA,11,NA,NA,15,1,1,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2014,Port Loko,Koya,Fondu,Kamdama,NA,NA,8,NA,NA,15,1,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/2/2014,Port Loko,Koya,Kagbala,Rogbaneh,NA,NA,12,NA,NA,15,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2014,Port Loko,Koya,Kagbala,Matakay,NA,NA,10,NA,NA,15,1,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
